timestamp	round_id	candidate_id	tier	pattern_id	diff_excerpt	proposer_rationale_excerpt	ran_as_canary	canary_outcome	canary_round_id
2026-04-30T06:47:01+00:00	qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-deltanet-20260430T054021Z	001	soft	deltanet_gate_load_cg_hint	tl.load(cu_seqlens + i_n, cache_modifier=".cg").to(tl.int32),\ntl.load(cu_seqlens + i_n + 1, cache_modifier=".cg").to(tl.int32),\nboh = tl.load(chunk_offsets + i_n, cache_modifier=".cg").to(tl.int32)		false		
2026-04-30T20:37:21+00:00	qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-deltanet-20260430T183324Z	003	soft	deltanet_gate_load_cg_hint	b_gk_last1 = tl.load(gk_last + o_k1, cache_modifier=".cg")\nb_gk_last2 = tl.load(gk_last + o_k2, cache_modifier=".cg")\ncache_modifier=".cg",\nb_gk_last3 = tl.load(gk_last + o_k3, cache_modifier=".cg")\ncache_modifier=".cg",\nb_gk_last4 = tl.load(gk_last + o_k4, cache_modifier=".cg")		false		
2026-05-03T03:49:04+00:00	qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260503T021359Z	004	soft	fp8_gemm_cutlass_python_wrapper_rewrite	"source_replacements": [],\n"source_replacements": [\n"before": "        # Fused GEMM_DQ\n        output = ops.cutlass_scaled_mm(\n            A, B, out_dtype=out_dtype, scale_a=As, scale_b=Bs, bias=bias\n        )\n        return output.view(*output_shape)\n",\n"after": "        # Fused GEMM_DQ\n        output = ops.cutlass_scaled_mm(\n            A, B, out_dtype=out_dtype, scale_a=As, scale_b=Bs		false		
2026-05-03T03:52:02+00:00	qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260503T021359Z	005	soft	fp8_gemm_cutlass_python_wrapper_rewrite	"source_replacements": [],\n"source_replacements": [		false		
2026-05-03T03:56:12+00:00	qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260503T021359Z	006	soft	fp8_gemm_cutlass_python_wrapper_rewrite	"vllm.model_executor.layers.quantization.kernels.scaled_mm.cutlass",		false		
2026-05-03T04:00:08+00:00	qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260503T021359Z	007	soft	fp8_gemm_cutlass_python_wrapper_rewrite	"vllm.model_executor.layers.quantization.kernels.scaled_mm.cutlass",\n"vllm.model_executor.kernels.linear.scaled_mm.cutlass",		false		
2026-05-03T04:02:48+00:00	qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260503T021359Z	008	soft	fp8_gemm_cutlass_python_wrapper_rewrite	"vllm.model_executor.kernels.linear.scaled_mm.cutlass",		false		
2026-05-03T05:16:48+00:00	qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260503T045947Z	001	soft	fp8_gemm_cutlass_python_wrapper_rewrite	"source_replacements": [],\n"source_replacements": [		false		
2026-05-03T05:20:08+00:00	qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260503T045947Z	002	soft	fp8_gemm_cutlass_python_wrapper_rewrite	"source_replacements": [],\n"source_replacements": [\n"before": "        # Fused GEMM_DQ\n        output = ops.cutlass_scaled_mm(\n            A, B, out_dtype=out_dtype, scale_a=As, scale_b=Bs, bias=bias\n        )\n        return output.view(*output_shape)\n",\n"after": "        # Fused GEMM_DQ\n        output = ops.cutlass_scaled_mm(\n            A, B, out_dtype=out_dtype, scale_a=As, scale_b=Bs		false		
2026-05-03T05:22:32+00:00	qwen3.5-27b-responses-sdk-adapter-cutover-heavy-l0c-mutation-fp8_gemm-20260503T045947Z	003	soft	fp8_gemm_cutlass_python_wrapper_rewrite	"source_replacements": [],\n"source_replacements": [		false		
