candidate_uuid	parent_candidate_uuid	iteration	candidate_label	feasible	eval_throughput	objective_mean	objective_ci_95	measurement_count	window_completed	no_oom_events	reasoning_content_purity	determinism_pass_rate	status	notes
92c6559a-55ac-49e9-925f-3b1f52de3666		baseline_a	baseline_a	true	0.006667			1	true	true	1.0	1.0	baseline	default-config baseline replay a
b262c644-9274-45e3-991b-4d4ea6bd99d3		baseline_b	baseline_b	true	0.006667			1	true	true	1.0	1.0	baseline	default-config baseline replay b
618e2036-1219-46df-a805-cc8ea059ba84		001	candidate-001	true	0.006667			1	true	true	1.0	1.0	discard	feasible and stable, but eval_throughput stayed at 0.006667 despite sustained_concurrency 16, so there was no gain over baseline
0f06010a-a0b0-4e96-909a-e2b1288f8c71		002	candidate-002	true	0.006667			1	true	true	1.0	1.0	discard	Feasible and stable, but eval_throughput stayed at 0.006667 and disabling prefix caching regressed TTFT_p95 to 50789 ms with prefix-cache hit rate still 0.0.
60745b03-a4ff-463c-88f1-8de477eb5ce7		003	candidate-003	true	0.006667			1	true	true	1.0	1.0	discard	Feasible and stable, but eval_throughput stayed at 0.006667 and TTFT_p95/turn_latency_p95 regressed to 50781 ms/145089 ms versus candidate-001.
692d3b35-84dd-43ef-bdf3-4ec48661ea44		004	candidate-004	true	0.006667			1	true	true	1.0	1.0	discard	Feasible and stable, but eval_throughput stayed at 0.006667 and disabling chunked prefill regressed TTFT_p95/turn_latency_p95 to 50759 ms/145027 ms versus candidate-001.
2494a48f-a344-4abe-bb8a-0beccbe59865		005	candidate-005	true	0.006667			1	true	true	1.0	1.0	discard	Feasible and stable at sustained_concurrency 24, but eval_throughput stayed at 0.006667 and TTFT_p95/turn_latency_p95 regressed to 50744 ms/144984 ms versus candidate-001.
2a80ea07-547d-42f9-8e58-0ec036c35fb6		006	candidate-006	true	0.006667			1	true	true	1.0	1.0	discard	Feasible and stable, but eval_throughput stayed at 0.006667 and reducing max_model_len to 28672 regressed TTFT_p95/turn_latency_p95 to 50746 ms/144990 ms versus candidate-001.
191cd0ef-4bd9-476a-99d4-0ae3be185dc6		007	candidate-007	true	0.006667			1	true	true	1.0	1.0	discard	Feasible and stable, but eval_throughput stayed at 0.006667 and TTFT_p95/turn_latency_p95 at 48096 ms/137417 ms still trailed candidate-001.
712be8c7-c5a0-48a1-97d6-fea55c9e530c		008	candidate-008	true	0.006667			1	true	true	1.0	1.0	discard	Feasible and stable, but eval_throughput stayed at 0.006667 and max_num_batched_tokens=4096 regressed TTFT_p95/turn_latency_p95 to 50745 ms/144986 ms versus candidate-001 and candidate-007.
